brand,model,iron_tested,loft_deg,launch_deg,spin_rpm,peak_ft,carry_yds,descent_deg,disp_area_yds2,note,club_speed_mph,aoa_deg,ball,shaft,source
PING,G730,7-iron,28,20.0,4310,91,170,46,155,,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
PING,i530,7-iron,29,20.0,4506,91,168,46,107,,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
PING,G740,7-iron,28,20.9,4787,92,162,47,82,,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
PING,i540,7-iron,29,20.8,4767,91,161,46,72,,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
WILSON,Staff MB,7-iron,34,23.0,5908,95,151,49,72,,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
WILSON,Staff CB,7-iron,34,23.0,6007,96,149,49,56,,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
WILSON,Staff XB,7-iron,32,21.7,5467,93,156,48,85,,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
WILSON,DynaPWR Forged (2024),7-iron,30.5,20.2,5277,91,161,47,100,old,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
WILSON,DynaPWR Forged (2026),7-iron,30.5,21.0,4902,94,163,47,117,new,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
CALLAWAY,Quantum Max,7-iron,29,20.4,4458,91,166,46,74,,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
CALLAWAY,Quantum Max OS,7-iron,29,20.4,4195,91,168,46,99,,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
CALLAWAY,Quantum Max Fast,7-iron,28,19.4,4453,88,168,45,74,,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
COBRA,3DP Tour,7-iron,,,,,,,74,dispersion-only card,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
COBRA,3DP X,7-iron,,,,,,,92,dispersion-only card,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
COBRA,3DP MB,7-iron,,,,,,,96,dispersion-only card,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
MIZUNO,Pro M-13,7-iron,,,,,,,93,dispersion-only card,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
MIZUNO,Pro M-15,7-iron,,,,,,,57,dispersion-only card,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
MIZUNO,Pro 243,7-iron,,,,,,,115,dispersion-only card,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
MIZUNO,Pro 245,7-iron,,,,,,,81,dispersion-only card,80,-2,Titleist Pro V1 RCT,KBS Tour 110g,Cool Clubs
