category,brand,model,iron_tested,spin_rpm,dyn_loft_deg,spin_axis,carry_yds,descent_deg,peak_ft,dispersion_sqft95,robot_club_speed_mph,ball,shots,source,test_date
Players Distance,PING,i540,7-iron,4429,22.2,-4.5 DRAW,160.0,42.8,81,148,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Mar 2026
Players Distance,TAYLORMADE,P790,7-iron,4911,24.0,-1.8 DRAW,157.9,44.5,84,168,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Mar 2026
Players Distance,PXG,0311P Gen 8,7-iron,4919,24.5,-1.8 DRAW,161.5,45.4,89,167,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Mar 2026
Players Distance,MIZUNO,Pro M-15,7-iron,5113,24.0,+0.2 FADE,153.5,43.4,80,337,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Mar 2026
Players Distance,CALLAWAY,Apex Ai200,7-iron,5193,24.9,-3.3 DRAW,152.5,44.9,82,180,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Mar 2026
Players Distance,WILSON,Staff Model XB,7-iron,5487,25.9,-2.5 DRAW,149.5,45.3,84,299,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Mar 2026
Players Distance,CALLAWAY,Apex Ti Fusion,7-iron,5557,26.1,-1.5 DRAW,151.3,45.6,86,227,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Mar 2026
Game Improvement,PXG,0311XP Gen 8,7-iron,4420,22.2,+1.2 FADE,164.2,42.7,81,361,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jul 2026
Game Improvement,PING,G740,7-iron,4999,23.5,-0.2 DRAW,158.8,44.7,86,261,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jul 2026
Game Improvement,COBRA,3DP King,7-iron,5034,23.5,-2.3 DRAW,156.5,42.6,78,167,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jul 2026
Game Improvement,CALLAWAY,Apex Forged,7-iron,5130,25.4,+2.6 FADE,157.4,45.1,84,232,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jul 2026
Game Improvement,CALLAWAY,Apex Ti,7-iron,5144,25.4,-1.2 DRAW,155.3,45.0,86,215,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jul 2026
Game Improvement,TAYLORMADE,Qi4D Max,7-iron,5255,24.6,-0.6 DRAW,152.2,44.0,80,178,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jul 2026
Game Improvement,COBRA,3DPx,7-iron,5387,24.9,-0.5 DRAW,153.0,44.5,82,277,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jul 2026
Game Improvement,WILSON,Staff Dynapwr,7-iron,5604,25.9,+1.3 FADE,152.7,45.8,88,169,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jul 2026
Game Improvement,TAYLORMADE,Qi4D Max HL,7-iron,5843,26.9,-2.2 DRAW,147.0,45.9,84,181,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jul 2026
Players,PXG,0311T Gen8,7-iron,5244,25.4,-1.9 DRAW,155.8,45.5,88,326,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jun 2026
Players,CALLAWAY,Apex Ai 150,7-iron,5289,26.5,-1.0 DRAW,149.5,46.2,86,303,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jun 2026
Players,COBRA,3DP Tour,7-iron,5513,25.3,+0.5 FADE,150.7,44.7,83,227,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jun 2026
Players,PING,i240,7-iron,5662,26.8,-2.5 DRAW,146.8,45.6,85,137,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jun 2026
Players,MIZUNO,Pro M-13,7-iron,5799,26.4,-2.4 DRAW,148.8,45.7,85,165,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jun 2026
Players,WILSON,Staff Model,7-iron,5903,26.6,-2.8 DRAW,144.5,45.5,81,372,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jun 2026
Players,COBRA,3DP MB,7-iron,5927,26.9,-2.6 DRAW,147.1,45.5,84,246,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jun 2026
Players,MIZUNO,Pro S-1,7-iron,6113,28.0,-1.6 DRAW,146.5,46.8,87,223,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jun 2026
Players,CALLAWAY,X Forged,7-iron,6165,27.3,-2.4 DRAW,143.5,46.2,84,279,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jun 2026
Players,WILSON,Staff Model CB,7-iron,6476,29.3,+0.5 FADE,136.6,46.8,83,310,82,Titleist Pro V1,36,Golf Laboratories (Golf Digest),Jun 2026
