category,oem,model,mgs_score,accuracy_score,distance_score,forgiveness_score,year_tested
Game Improvement,Takomo,Iron 101 MKII,9.2,9.5,8.6,9.1,2026
Game Improvement,Callaway,TI Fusion 250,9.1,9.3,9.1,8.8,2026
Game Improvement,ONOFF,Iron A.K.A.,9.1,9.4,9.1,8.5,2026
Game Improvement,Srixon,ZXiR,9.0,9.0,9.0,9.2,2026
Game Improvement,Titleist,T350,9.0,9.1,8.7,9.0,2026
Game Improvement,COBRA,3DP X,8.8,8.9,8.6,9.0,2026
Game Improvement,Haywood,SV.2,8.8,8.9,8.3,9.1,2026
Game Improvement,Mizuno,JPX 925 Hot Metal,8.8,8.6,9.0,8.8,2025
Game Improvement,TaylorMade,Qi Max,8.8,8.6,9.1,8.8,2026
Game Improvement,COBRA,KING,8.7,8.5,8.7,9.1,2026
Game Improvement,Tour Edge,Exotics Max,8.7,8.6,8.8,8.9,2026
Game Improvement,Srixon,ZXi4,8.7,8.8,8.3,8.7,2025
Game Improvement,Callaway,Quantum Max,8.7,8.5,9.3,8.4,2026
Game Improvement,Sub 70,699 v3,8.6,8.7,8.0,8.9,2025
Game Improvement,COBRA,KING TEC X,8.6,8.5,8.6,8.7,2025
Game Improvement,PING,G440,8.6,8.6,8.5,8.6,2025
Game Improvement,Orka,CTi,8.5,8.8,7.5,8.9,2025
Game Improvement,Honma,TW HX,8.5,8.4,8.8,8.5,2025
Game Improvement,Wilson,DYNAPWR,8.5,8.3,8.9,8.3,2025
Game Improvement,Vice Golf,VGI02,8.4,8.2,8.7,8.3,2025
Game Improvement,Maxfli,XC3,8.3,8.2,8.2,8.5,2025
Game Improvement,PXG,0311 XP GEN 8,8.2,7.7,9.7,7.8,2026
Game Improvement,Stix Golf,Perform Series 2.0,8.1,8.4,6.9,8.9,2026
Players,,T150,9.0,8.6,9.7,9.1,
Players,,CB,9.0,9.6,7.7,9.0,
Players,,CB-26,8.9,9.8,7.6,8.5,
Players,,ZXi7,8.9,8.9,9.1,8.8,
Players,,Staff Model XB,8.8,9.5,7.8,8.4,
Players,,Exotics CB,8.7,8.9,7.9,9.3,
Players,,i240,8.7,9.0,7.8,9.0,
Players,,Apex Ai 150,8.5,8.3,9.8,7.9,
Players,,201T MKII,8.3,8.3,8.0,8.5,
Players,,Kuro Forged Iron,8.3,8.1,9.5,7.3,
Players,,Staff Model CB,8.2,8.1,7.7,8.7,
Players,,0311T GEN 8,8.2,8.4,8.3,7.7,
Players,,T100,8.1,7.6,8.1,9.1,
Players,,TC-826 Forged,8.1,7.3,9.0,8.5,
Players,,Toney Pena CB,7.9,7.3,9.4,7.7,
Players Distance,,Wilson DYNAPWR Forged 2026,9.4,9.8,8.8,9.3,2026
Players Distance,,Mizuno Pro M-15,9.0,9.1,9.2,8.8,2026
Players Distance,,Orka RS1X,9,9.2,9.2,8.6,2025
Players Distance,,LA GOLF CB-26 Max,8.9,9.1,8.6,8.8,2026
Players Distance,,Callaway Apex Ai200,8.9,9,9.5,8.1,2025
Players Distance,,Honma TW VX,8.9,8.9,8.9,8.7,2025
Players Distance,,Honma TW PX,8.9,9.1,8.6,8.9,2025
Players Distance,,PING i540,8.9,8.8,10.0,8.0,2026
Players Distance,,Srixon ZXi5,8.8,8.8,8.8,8.9,2025
Players Distance,,Titleist T250,8.8,8.7,9.2,8.6,2026
Players Distance,,Takomo Iron 201 MKII,8.6,8.8,8.0,9.0,2026
Players Distance,,PXG 0311P GEN8,8.6,8.6,8.8,8.4,2026
Players Distance,,Haywood PD.1,8.6,8.5,8.7,8.8,2026
Players Distance,,Mizuno JPX 925 Hot Metal Pro,8.6,8.4,9.6,8,2025
Players Distance,,Lets Play Thru LSF25,8.6,8.4,8.6,8.9,2026
Players Distance,,TaylorMade P790,8.5,8.5,8.8,8.3,2025
Players Distance,,Bridgestone 222 CB+,8.5,8.6,7.9,8.8,2025
Players Distance,,Mizuno Pro M-13,8.5,8.3,8.1,9.2,2026
Players Distance,,Maxfli XC2,8.4,8,9.2,8.5,2025
Players Distance,,Mizuno JPX 925 Forged,8.4,8.2,9.1,8.4,2025
Players Distance,,Callaway Apex TI Fusion,8.4,8.5,8.7,8,2025
Players Distance,,New Level 702+,8.4,8.8,7.7,8.4,2025
Players Distance,,Sub 70 699 Pro v3,8.3,8.3,8.5,8.3,2025
Players Distance,,COBRA KING TEC,8.3,8.2,8.4,8.5,2025
Players Distance,,TaylorMade P770,8.3,8.3,7.6,9,2025
Players Distance,,Ben Hogan Legend,8.2,8.1,8.4,8.1,2025
Players Distance,,Bettinardi CB24,8.2,8.1,8.2,8.5,2025
Super Game Improvement,Tour Edge,Hot Launch Max D,9.3,9.7,9.0,9.1,2026
Super Game Improvement,Callaway,Quantum Max OS,9.1,9.2,9.3,8.8,2026
Super Game Improvement,Fourteen Golf,TB-3 Forged,9.0,9.0,9.0,8.8,2026
Super Game Improvement,Wilson,DYNAPWR Max,8.7,8.8,8.8,8.6,2025
Super Game Improvement,PING,G740,8.7,8.2,9.9,8.5,2026
Super Game Improvement,COBRA,KING MAX,8.6,8.3,8.5,9.3,2026
Super Game Improvement,Srixon,ZXiR HL,8.6,8.7,7.8,9.0,2026
Super Game Improvement,Mizuno,JPX 925 Hot Metal HL,8.5,8.6,8.0,8.8,2025
Super Game Improvement,TaylorMade,Qi Max HL,8.3,8.2,8.4,8.5,2026
