category,brand,model,iron_tested,spin_rpm,descent_deg,peak_ft,carry_yds,loft_6i,adj_vcog,moi,moi_vs_P770,adjvcog_vs_P770,loft_vs_P770,green_hold_z,launch_fit
Players,MIZUNO,Pro S-1,7-iron,6113,46.8,87,146.5,26.0,-0.081,13.9995,2.4595000000000002,-0.037000000000000005,-3.0,4.17,4.25
Players,WILSON,Staff Model CB,7-iron,6476,46.8,83,136.6,,,,,,,3.42,3.42
Game Improvement,WILSON,Staff Dynapwr,7-iron,5604,45.8,88,152.7,,,,,,,2.62,2.62
Players,CALLAWAY,X Forged,7-iron,6165,46.2,84,143.5,27.0,-0.022,12.6395,1.0995000000000008,0.022,-2.0,2.63,2.3
Players,PING,i240,7-iron,5662,45.6,85,146.8,30.0,0.002,15.8352,4.295200000000001,0.046,1.0,1.45,2.1
Players,PXG,0311T Gen8,7-iron,5244,45.5,88,155.8,,,,,,,1.62,1.62
Game Improvement,TAYLORMADE,Qi4D Max HL,7-iron,5843,45.9,84,147.0,28.0,-0.115,13.1479,1.6079000000000008,-0.07100000000000001,-1.0,1.71,1.53
Players Distance,PXG,0311P Gen 8,7-iron,4919,45.4,89,161.5,26.0,-0.041,14.4828,2.9428,0.0029999999999999957,-3.0,1.24,1.47
Players Distance,CALLAWAY,Apex Ti Fusion,7-iron,5557,45.6,86,151.3,26.0,-0.062,13.0481,1.5081000000000007,-0.018000000000000002,-3.0,1.6,1.39
Players,CALLAWAY,Apex Ai 150,7-iron,5289,46.2,86,149.5,26.0,-0.062,13.0481,1.5081000000000007,-0.018000000000000002,-3.0,1.59,1.38
Players,MIZUNO,Pro M-13,7-iron,5799,45.7,85,148.8,28.0,-0.052,12.1274,0.5874000000000006,-0.008,-1.0,1.81,1.32
Game Improvement,PING,G740,7-iron,4999,44.7,86,158.8,24.0,-0.067,18.8575,7.317500000000003,-0.023000000000000007,-5.0,-0.33,1.25
Players,COBRA,3DP MB,7-iron,5927,45.5,84,147.1,26.0,-0.106,12.8229,1.2829000000000015,-0.062,-3.0,1.52,1.24
Players Distance,WILSON,Staff Model XB,7-iron,5487,45.3,84,149.5,,,,,,,0.45,0.45
Players,WILSON,Staff Model,7-iron,5903,45.5,81,144.5,,,,,,,0.36,0.36
Game Improvement,CALLAWAY,Apex Ti,7-iron,5144,45.0,86,155.3,26.0,-0.062,13.0481,1.5081000000000007,-0.018000000000000002,-3.0,0.23,0.02
Game Improvement,CALLAWAY,Apex Forged,7-iron,5130,45.1,84,157.4,26.0,-0.062,13.0481,1.5081000000000007,-0.018000000000000002,-3.0,-0.45,-0.66
Players,COBRA,3DP Tour,7-iron,5513,44.7,83,150.7,26.0,-0.106,12.8229,1.2829000000000015,-0.062,-3.0,-0.4,-0.68
Game Improvement,COBRA,3DPx,7-iron,5387,44.5,82,153.0,,,,,,,-1.2,-1.2
Players Distance,CALLAWAY,Apex Ai200,7-iron,5193,44.9,82,152.5,26.0,-0.062,13.2745,1.7345000000000006,-0.018000000000000002,-3.0,-1.24,-1.38
Players Distance,TAYLORMADE,P790,7-iron,4911,44.5,84,157.9,,,,,,,-1.43,-1.43
Game Improvement,TAYLORMADE,Qi4D Max,7-iron,5255,44.0,80,152.2,24.0,-0.102,12.8524,1.3124000000000002,-0.057999999999999996,-5.0,-2.66,-2.93
Players Distance,MIZUNO,Pro M-15,7-iron,5113,43.4,80,153.5,26.5,-0.082,11.9459,0.4059000000000008,-0.038000000000000006,-2.5,-3.48,-4.03
Players Distance,PING,i540,7-iron,4429,42.8,81,160.0,26.0,-0.026,15.4534,3.913400000000001,0.018,-3.0,-5.03,-4.5
Game Improvement,PXG,0311XP Gen 8,7-iron,4420,42.7,81,164.2,23.0,-0.048,15.5149,3.9749000000000017,-0.0040000000000000036,-6.0,-5.13,-4.58
Game Improvement,COBRA,3DP King,7-iron,5034,42.6,78,156.5,26.0,-0.106,12.8229,1.2829000000000015,-0.062,-3.0,-5.09,-5.37
